identifier,category,subcategory,notes,hide_in_spends
17-304,Outreach,Events/Conference Attendance & Side Events,,0
17-305,Outreach,Events/Conference Attendance & Side Events,,0
17-306,Outreach,Events/Conference Attendance & Side Events,,0
17-307,Outreach,Events/Conference Attendance & Side Events,,0
17-308,Outreach,Events/Conference Attendance & Side Events,,0
17-309,Outreach,Events/Conference Attendance & Side Events,,0
17-310,Outreach,Events/Conference Attendance & Side Events,,0
17-311,Outreach,Events/Conference Attendance & Side Events,,0
17-312,Outreach,Events/Conference Attendance & Side Events,,0
17-313,Outreach,Events/Conference Attendance & Side Events,,0
17-314,Outreach,Events/Conference Attendance & Side Events,,0
17-315,Outreach,Events/Conference Attendance & Side Events,,0
17-337,Outreach,Events/Conference Attendance & Side Events,,0
17-343,Outreach,Events/Conference Attendance & Side Events,,0
17-345,Outreach,Events/Conference Attendance & Side Events,,0
17-346,Outreach,Events/Conference Attendance & Side Events,,0
17-347,Outreach,Events/Conference Attendance & Side Events,,0
17-378,Outreach,Events/Conference Attendance & Side Events,,0
17-379,Outreach,Events/Conference Attendance & Side Events,,0
17-383,Outreach,Events/Conference Attendance & Side Events,,0
17-384,Outreach,Events/Conference Attendance & Side Events,,0
17-411,Outreach,Events/Conference Attendance & Side Events,,0
17-412,Outreach,Events/Conference Attendance & Side Events,,0
17-413,Outreach,Events/Conference Attendance & Side Events,,0
17-414,Outreach,Events/Conference Attendance & Side Events,,0
17-415,Outreach,Events/Conference Attendance & Side Events,,0
17-416,Outreach,Events/Conference Attendance & Side Events,,0
17-418,Outreach,Events/Conference Attendance & Side Events,,0
17-443,Outreach,Events/Conference Attendance & Side Events,,0
17-444,Outreach,Events/Conference Attendance & Side Events,,0
17-534,Outreach,Events/Conference Attendance & Side Events,,0
17-540,Outreach,Events/Conference Attendance & Side Events,,0
17-541,Outreach,Events/Conference Attendance & Side Events,,0
17-542,Outreach,Events/Conference Attendance & Side Events,,0
17-543,Outreach,Events/Conference Attendance & Side Events,,0
17-544,Outreach,Events/Conference Attendance & Side Events,,0
17-545,Outreach,Events/Conference Attendance & Side Events,,0
17-586,Outreach,Events/Conference Attendance & Side Events,,0
17-609,Outreach,Events/Conference Attendance & Side Events,,0
17-610,Outreach,Events/Conference Attendance & Side Events,,0
17-647,Outreach,Events/Conference Attendance & Side Events,,0
17-653,Outreach,Events/Conference Attendance & Side Events,,0
17-711,Outreach,Events/Conference Attendance & Side Events,,0
17-713,Outreach,Events/Conference Attendance & Side Events,,0
17-714,Outreach,Events/Conference Attendance & Side Events,,0
17-717,Outreach,Events/Conference Attendance & Side Events,,0
