id,category,subcategory,notes,hide_in_spends
1134,Development,Polkadot Protocol & SDK,,0
1135,Talent & Education,Trainings & Hackathon,,0
1136,Outreach,Advertising/Influencers,,0
1141,Business Development,Music & Entertainment,,0
1149,Development,Data Services & Indexing,,0
1150,Development,Protocol Subsidies,,0
1165,Development,Software Development,,0
1166,,,,1
1167,Talent & Education,Education,,0
1168,Development,Polkadot Protocol & SDK,,0
1169,Research,Polkadot Protocol & SDK,,0
1170,Business Development,NFTs,,0
1173,Outreach,Social Media & Community Management,,0
1174,Outreach,Ambassadors & Agents,,0
1181,Development,Polkadot Protocol & SDK,,0
1193,Operations,Data Services & Indexing,,0
1194,Business Development,Business Development,,0
1206,Outreach,Content Creation & Distribution,,0
1210,Business Development,GovTech,,0
1217,Development,,,0
1220,Outreach,Content Creation & Distribution,,0
1223,Business Development,Business Development,,0
1224,Business Development,Business Development,,0
1225,Development,Governance,,0
1230,Business Development,NFTs,,0
1231,Development,Polkadot Protocol & SDK,,0
1232,Development,Wallets,,0
1233,Development,Polkadot Protocol & SDK,,0
1235,Development,,,0
1236,Development,Polkadot Protocol & SDK,,0
1237,Outreach,Content Creation & Distribution,,0
1240,Outreach,Content Creation & Distribution,,0
1242,Development,,,0
1244,Development,Polkadot Protocol & SDK,,0
1251,Development,Polkadot Protocol & SDK,,0
1252,Development,Data Services & Indexing,,0
1253,Development,Polkadot Protocol & SDK,,0
1258,Outreach,Content Creation & Distribution,,0
1260,Outreach,Social Media & Community Management,,0
1262,Business Development,NFTs,,0
1263,Development,Polkadot Protocol & SDK,,0
1266,Development,SDKs,,0
1268,Development,Polkadot Protocol & SDK,,0
1270,Operations,Governance,,0
1273,Talent & Education,Developer Onboarding,,0
1275,Outreach,,,0
1276,Outreach,Ambassadors & Agents,,0
1278,,,,1
1284,Outreach,Ambassadors & Agents,,0
1287,Outreach,Ambassadors & Agents,,1
1288,Development,,,0
1290,Development,Polkadot Protocol & SDK,,0
1291,Development,Polkadot Protocol & SDK,,0
1292,Development,Polkadot Protocol & SDK,,0
1293,Development,Polkadot Protocol & SDK,,0
1294,Development,Polkadot Protocol & SDK,,0
1295,Development,Polkadot Protocol & SDK,,0
1296,Development,Polkadot Protocol & SDK,,0
1299,Outreach,Ambassadors & Agents,,0
1301,Development,RPCs and Nodes,,0
1305,Development,Multisig,,0
1306,Development,,,0
1307,Development,,,0
1309,Business Development,Business Development,,0
1312,Talent & Education,Trainings & Hackathon,,0
1314,Talent & Education,Trainings & Hackathon,,0
1315,Business Development,Protocol Subsidies,,0
1316,Development,Polkadot Protocol & SDK,,0
1317,Development,,,0
1320,Development,Polkadot Protocol & SDK,,0
1321,Development,,,0
1323,Development,Polkadot Protocol & SDK,,0
1324,Development,Polkadot Protocol & SDK,,0
1327,Development,Polkadot Protocol & SDK,,0
1329,Development,Polkadot Protocol & SDK,,0
1330,Outreach,Ambassadors & Agents,,0
1333,Development,Polkadot Protocol & SDK,,0
1334,Development,SDKs,,0
1335,Development,Polkadot Protocol & SDK,,0
1337,Development,,,0
1338,Development,Polkadot Protocol & SDK,,0
1340,Development,Software Development,,0
1343,Development,Developer Tooling,,0
1344,Development,Polkadot Protocol & SDK,,0
1347,Outreach,Ambassadors & Agents,,0
1352,Outreach,Ambassadors & Agents,,0
1353,Outreach,Content Creation & Distribution,,0
1354,Development,Polkadot Protocol & SDK,,0
1355,Development,Polkadot Protocol & SDK,,0
1356,Development,Polkadot Protocol & SDK,,0
1358,Outreach,Ambassadors & Agents,,0
1360,Development,Polkadot Protocol & SDK,,0
1362,Research,Governance,,0
1366,Operations,Explorers,,0
1367,,,,1
1369,Development,Polkadot Protocol & SDK,,0
1370,Operations,Staking,,0
1371,Development,Account Abstraction,,0
1378,Development,Polkadot Protocol & SDK,,0
1379,Development,Polkadot Protocol & SDK,,0
1380,Outreach,Ambassadors & Agents,,0
1381,Development,Data Services & Indexing,,0
1383,Business Development,Software Development,,0
1385,Development,Polkadot Protocol & SDK,,0
1390,Development,Wallets,"expired, superseded by  1513",1
1391,Development,Wallets,,0
1392,Outreach,Events/Conference Attendance & Side Events,,0
1395,,,,1
1396,Development,Polkadot Protocol & SDK,,0
1397,Outreach,Ambassadors & Agents,,0
1399,Outreach,Events/Conference Attendance & Side Events,,0
1402,Development,Polkadot Protocol & SDK,,0
1403,Development,Polkadot Protocol & SDK,,0
1405,Outreach,Advertising/Influencers,,0
1408,Development,Polkadot Protocol & SDK,,0
1410,Development,Software Development,,0
1412,Outreach,Advertising/Platform Integrations,,0
1413,Development,Software Development,,0
1425,Business Development,Privacy,,0
1429,Development,Polkadot Protocol & SDK,,0
1430,Development,Polkadot Protocol & SDK,,0
1431,Development,Polkadot Protocol & SDK,,0
1439,Economy,DeFi Incentives,,0
1440,Development,Data Services & Indexing,,0
1446,Development,Polkadot Protocol & SDK,,0
1447,Operations,Data Services & Indexing,,0
1451,Development,Polkadot Protocol & SDK,,0
1454,Development,Polkadot Protocol & SDK,,0
1455,Operations,Explorers,,0
1456,Development,Polkadot Protocol & SDK,,0
1457,Development,Polkadot Protocol & SDK,,0
1460,Development,Polkadot Protocol & SDK,,0
1461,Development,Polkadot Protocol & SDK,,0
1462,Development,Polkadot Protocol & SDK,,0
1463,Operations,Explorers,,0
1465,Development,Smart Contracts,,0
1467,Outreach,Content Creation & Distribution,,0
1470,Development,Polkadot Protocol & SDK,,0
1471,Development,Polkadot Protocol & SDK,,0
1473,Outreach,Ambassadors & Agents,,0
1475,Development,Explorers,,0
1476,Operations,Governance,,0
1477,Development,SDKs,,0
1479,,,,1
1482,Outreach,Advertising/Sponsorships,,0
1485,,,,1
1487,,,,1
1490,,,,1
1491,,,,1
1492,Talent & Education,Developer Onboarding,,0
1493,,,,1
1497,Talent & Education,PBA,,0
1501,,,,1
1502,Operations,Other,,0
1503,Development,Software Development,,0
1508,Development,Software Development,,0
1511,Development,Polkadot Protocol & SDK,,0
1512,Development,Polkadot Protocol & SDK,,0
1513,Development,Wallets,,0
1515,Development,Polkadot Protocol & SDK,,0
1516,,,,1
1518,Development,Privacy,,0
1519,Outreach,Ambassadors & Agents,,0
1521,Operations,Governance,,0
1522,Outreach,Content Creation & Distribution,,0
1524,Development,Polkadot Protocol & SDK,,0
1526,Operations,Data Services & Indexing,,0
1530,Research,Polkadot Protocol & SDK,,0
1531,Research,Governance,,0
1534,Development,Polkadot Protocol & SDK,,0
1535,Business Development,Business Development,,0
1537,Outreach,Ambassadors & Agents,,0
1538,,,,1
1540,Business Development,Business Development,,0
1541,Development,Protocol Subsidies,,0
1542,Economy,DeFi Incentives,"since Hydration repaid a part of the spend, we will do a cleaned up line in the aggregated spends sheet",1
1543,Business Development,Games,,0
1544,Business Development,Business Development,,0
1551,Development,Polkadot Protocol & SDK,,0
1553,Outreach,Ambassadors & Agents,,0
1554,Development,Polkadot Protocol & SDK,,0
1556,Development,Polkadot Protocol & SDK,,0
1559,Business Development,Protocol Subsidies,,0
1560,Talent & Education,Trainings & Hackathon,,0
1562,Business Development,NFTs,,0
1565,Development,Polkadot Protocol & SDK,,0
1566,Development,Smart Contracts,,0
1569,Outreach,Ambassadors & Agents,,0
1571,Development,Polkadot Protocol & SDK,,0
1572,Development,Multisig,,0
1573,Development,Wallets,,0
1579,Talent & Education,Trainings & Hackathon,,0
1583,Development,Developer Tooling,,0
1584,,,,1
1586,Business Development,DeFi & Fintech Integrations,,0
1589,Development,Developer Tooling,,0
1591,Operations,Governance,,0
1594,Development,Governance,,0
1595,Development,Software Development,,0
1605,Outreach,Ambassadors & Agents,,0
1606,Outreach,Ambassadors & Agents,,0
1612,Development,Governance,,0
1613,Outreach,Ambassadors & Agents,,0
1618,Outreach,Ambassadors & Agents,,0
1619,Development,SDKs,,0
1625,Development,SDKs,,0
1628,Development,Polkadot Protocol & SDK,,0
1630,Outreach,Ambassadors & Agents,,0
1634,Business Development,Business Development,,0
1637,Business Development,Protocol Subsidies,,0
1638,Talent & Education,Developer Onboarding,,0
1640,,,,1
1641,Development,Developer Tooling,,0
1643,Research,Governance,,0
1651,,,,1
1652,Research,Governance,,0
1657,Development,Polkadot Protocol & SDK,,0
1659,Outreach,Ambassadors & Agents,,0
1662,,,,1
1667,Development,Bridge,,0
1670,Development,Software Development,,0
1673,Outreach,Ambassadors & Agents,,0
1674,Outreach,Ambassadors & Agents,,0
1676,Research,Legal,,0
1681,Business Development,Business Development,,0
1683,Business Development,Business Development,,0
1684,Outreach,Events/Conference Hosting,,0
1686,Business Development,Business Development,,0
1687,,,,1
1689,Development,Polkadot Protocol & SDK,,0
1690,Development,Polkadot Protocol & SDK,,0
1693,Talent & Education,Developer Onboarding,,0
1695,Development,Bridge,,0
1696,Development,Bridge,,0
1699,Development,Polkadot Protocol & SDK,,0
1702,Development,Wallets,,0
1704,Outreach,Ambassadors & Agents,,0
1708,Operations,Governance,,0
1727,Operations,Explorers,,0
1729,,,,1
1734,,,,1
1743,,,,1
1745,Development,Wallets,,0
1748,Talent & Education,Ambassadors & Agents,,0
1758,,,,1
1766,Operations,Software Services,,0
