Extrinsic ID,Date,Block,Hash,Symbol,From,To,Value,Result,year-month,quarter
8688574-0,2025-04-22 09:24:36,8688574,0xf6631087c392701a48fe750fa62ae69b6e6a22bcaedec2572ea928ab80a17aac,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16W7xmgxqZr7n1eqt6acZ8TtAbXybJZi3k51y4qDCjzgVY4j,1500000,TRUE,2025-04,2025-Q2
8737006-0,2025-04-29 06:00:24,8737006,0x5e71ca8d80d710e065bf0915ac51e88fdd1ab51b0eb912a6959b2725f7e0c775,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12mP4sjCfKbDyMRAEyLpkeHeoYtS5USY4x34n9NMwQrcEyoh,266652,TRUE,2025-04,2025-Q2
8784427-0,2025-05-06 00:37:06,8784427,0x3f7813c160076c85a55fe18491ae55d8508c6644d58a7794deacfb5290af954b,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16q8a9V8qSVscHMi6HoobBjMpBe23HzhYW9DDNgFLyBgAQT,598100,TRUE,2025-05,2025-Q2
8789648-2,2025-05-06 20:59:54,8789648,0x7818a8f0091590db38db4b06765c359d41dcfcea42bf5ffffef1f7bcd01fa588,USDT,13wa8ddUNUhXnGeTrjYH8hYXF2jNdCJvgcADJakNvtNdGozX,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,231755,TRUE,2025-05,2025-Q2
8798811-0,2025-05-08 06:51:06,8798811,0xd5d7c2c586b45ebea634ebe0117ef04b6bca6bcaf9f188b8fbe28bee37139b11,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,14xQXJdUDC1pzyt8y3z27ANiUBgP7zTSaYutaLELJoyQrdLP,201140,TRUE,2025-05,2025-Q2
8835333-0,2025-05-13 10:55:54,8835333,0x888d45e85b6ff411a0720b3ea0eb70b89d85151135c2d634e190cae191239046,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1eGtATyy4ayn77dsrhdW8N3Vs1yjqjzJcintksNmScqy31j,45000,TRUE,2025-05,2025-Q2
8898532-0,2025-05-22 09:57:42,8898532,0x2aeb7590c8b701c7387ad42a6bc73cc0affb4433d7dae7b631de16ae07a579de,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,13bfKSQXoBn3AMLtZaW6BKv797fqZzsD3PYF6xpJDir3tdoE,310592.98,TRUE,2025-05,2025-Q2
8936218-0,2025-05-27 17:36:00,8936218,0x8e7b0c420c3d5163ca2466151c52946a4df98c163bda6a5892a2bcb91d911217,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,131MpMXeuKG6L27Ye23uzWr739KFbbrCBdiv39XZtnTCPwQB,1900002,TRUE,2025-05,2025-Q2
8937140-0,2025-05-27 20:43:06,8937140,0x582086e510a8db562cd19ee3dc3d5bdb00b285e3a26465227c0ee16138466711,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12zT4mjRRAc1vD8M3rhpQjmU6BABN4jvUUYqrvbUdd85nRTy,82667,TRUE,2025-05,2025-Q2
8962533-0,2025-05-31 10:31:18,8962533,0x091e2917624e8517afcc1aa8b9c27115f78632853e63913aaadc1a9b82775b97,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16ErEZGcba73vb1iqLGHinop16aqMGLL8d3rjeMquuki42kN,80000.0001,TRUE,2025-05,2025-Q2
8972958-0,2025-06-01 23:41:24,8972958,0x72e7eb95944a60bdad8175842b5a2e960d506373815ec927b0bbaa2f332e6d31,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,149FXUmHgg75z4sk2LzFDyctNLHhzf2YxGMFHT7TakkbeQ7F,209520,TRUE,2025-06,2025-Q2
9017978-0,2025-06-08 07:46:18,9017978,0x3673d66fde2d25c0dfeea9a9063339edfbc00739da396c007e634171e91f40c8,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,13orJpEPqMKLwWn7Tw9rULcDSSQXfLRgP4p3VTYRPHgZw7if,70000,TRUE,2025-06,2025-Q2
9021752-0,2025-06-08 20:34:18,9021752,0x5bcfb821b830e84de9bc630c7374e63ba853cf23abf88285b74cbd12e6f31c2b,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12ZLi8PUyfpJxKqWDUkaBPPt8cyYNZJ6F2TgyecVF5Jp5a64,150000,TRUE,2025-06,2025-Q2
9025140-0,2025-06-09 07:58:54,9025140,0x1938b88524e8b18fc560ec332924cf97e69377a6106394915b8eb7be97ac9fa4,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12KXpejnUXsvmUpgQe5Jc5uQZ1efD4UrXf3F4cfTP8N21XEB,157000,TRUE,2025-06,2025-Q2
9082592-0,2025-06-17 09:53:00,9082592,0x9a60264a28a115e2d2efbdd81a0e129954afaabe626930193ca95f4d24a8c9b1,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16W7xmgxqZr7n1eqt6acZ8TtAbXybJZi3k51y4qDCjzgVY4j,1500000,TRUE,2025-06,2025-Q2
9194004-0,2025-07-03 02:45:48,9194004,0xd178cb31da576e74e61d632265b8daaf673d5d62d5ac74d2a2f4e32f28b38029,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,139L8cXPCrmyoE8wEFac46gCkT4DrcbxFYp3TgmvKgkdQ3Wk,49000,TRUE,2025-07,2025-Q3
